State/District,Article,Seats
Alabama,"United_States_presidential_election_in_Alabama,_2016",9
Alaska,"United_States_presidential_election_in_Alaska,_2016",3
Arizona,"United_States_presidential_election_in_Arizona,_2016",11
Arkansas,"United_States_presidential_election_in_Arkansas,_2016",6
California,"United_States_presidential_election_in_California,_2016",55
Colorado,"United_States_presidential_election_in_Colorado,_2016",9
Connecticut,"United_States_presidential_election_in_Connecticut,_2016",7
Delaware,"United_States_presidential_election_in_Delaware,_2016",3
District of Columbia,"United_States_presidential_election_in_the_District_of_Columbia,_2016",3
Florida,"United_States_presidential_election_in_Florida,_2016",29
Georgia,"United_States_presidential_election_in_Georgia,_2016",16
Hawaii,"United_States_presidential_election_in_Hawaii,_2016",4
Idaho,"United_States_presidential_election_in_Idaho,_2016",4
Illinois,"United_States_presidential_election_in_Illinois,_2016",20
Indiana,"United_States_presidential_election_in_Indiana,_2016",11
Iowa,"United_States_presidential_election_in_Iowa,_2016",6
Kansas,"United_States_presidential_election_in_Kansas,_2016",6
Kentucky,"United_States_presidential_election_in_Kentucky,_2016",8
Louisiana,"United_States_presidential_election_in_Louisiana,_2016",8
Maine(at-large),"United_States_presidential_election_in_Maine,_2016",2
"Maine, 1st",Maine's_1st_congressional_district,1
"Maine, 2nd",Maine's_2nd_congressional_district,1
Maryland,"United_States_presidential_election_in_Maryland,_2016",10
Massachusetts,"United_States_presidential_election_in_Massachusetts,_2016",11
Michigan,"United_States_presidential_election_in_Michigan,_2016",16
Minnesota,"United_States_presidential_election_in_Minnesota,_2016",10
Mississippi,"United_States_presidential_election_in_Mississippi,_2016",6
Missouri,"United_States_presidential_election_in_Missouri,_2016",10
Montana,"United_States_presidential_election_in_Montana,_2016",3
Nebraska(at-lrg),"United_States_presidential_election_in_Nebraska,_2016",2
"Nebraska, 1st",Nebraska's_1st_congressional_district,1
"Nebraska, 2nd",Nebraska's_2nd_congressional_district,1
"Nebraska, 3rd",Nebraska's_3rd_congressional_district,1
Nevada,"United_States_presidential_election_in_Nevada,_2016",6
New Hampshire,"United_States_presidential_election_in_New_Hampshire,_2016",4
New Jersey,"United_States_presidential_election_in_New_Jersey,_2016",14
New Mexico,"United_States_presidential_election_in_New_Mexico,_2016",5
New York,"United_States_presidential_election_in_New_York,_2016",29
North Carolina,"United_States_presidential_election_in_North_Carolina,_2016",15
North Dakota,"United_States_presidential_election_in_North_Dakota,_2016",3
Ohio,"United_States_presidential_election_in_Ohio,_2016",18
Oklahoma,"United_States_presidential_election_in_Oklahoma,_2016",7
"races.csv" 57L, 3833C
